訓練日期,20180205 - 20180508
測試日期,20180509 - 20180626
代數,100
粒子數,10
旋轉角度,0.0004
實驗次數,1

初始資金,10000000.000000000000000
最後資金,10259498.179999999701977
真實報酬,2266238.939999999478459


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,115.748473171581409 x^2 + -4555.704463793745163 x + 10000000.000000000000000
二次平均預期報酬,7019.142853364397524
風險,188668.126012755848933
二次平均趨勢值,0.037203649613236
一次趨勢線,4081.807227653414429 x + 10000000.000000000000000
一次預期報酬,4081.807227653414429
一次風險,228231.877391904272372
一次趨勢值,0.017884474659271
投資組合檔數,11
Stock#,AAPL[0](14),BA[2](21),CSCO[4](20),CVX[5](23),DD[7](29),INTC[11](18),MCD[15](11),MRK[17](2),MSFT[18](3),PG[21](1),V[25](5)
20180214,948001.680000000051223,898513.700000000069849,934853.599999999976717,871143.299999999930151,914763.150000000023283,893922.540000000153668,858693.870000000111759,852272.159999999916181,899482.150000000023283,870569.700000000069849,908488.559999999939464,9850714.410000000149012
20180215,979833.360000000102445,928757.749999999883585,979051.499999999883585,862710.699999999953434,921426.849999999976717,904559.460000000079162,862933.800000000046566,869193.319999999948777,917806.399999999906868,889236.399999999906868,919389.660000000032596,10034909.199999999254942
20180216,976661.520000000018626,925058.650000000023283,984603.999999999883585,859720.959999999962747,922687.549999999930151,897468.180000000051223,846886.469999999972060,873850.519999999902211,911269.099999999976717,891286.499999999883585,916156.919999999925494,10005660.369999997317791
20180220,973376.400000000023283,920656.200000000069849,978607.300000000046566,850828.400000000023283,918455.199999999953434,912438.660000000032596,843505.260000000009313,853514.079999999841675,918400.699999999953434,877691.100000000093132,917359.800000000046566,9964843.100000001490116
20180221,968958.479999999981374,918103.299999999930151,961949.800000000046566,836109.679999999934807,909990.500000000000000,904953.420000000041910,851448.419999999925494,846838.759999999892898,906217.549999999930151,865822.099999999976717,905481.360000000102445,9875883.369999999180436
20180222,977058.000000000000000,927351.050000000046566,953732.099999999860302,842472.459999999962747,922417.400000000023283,902195.699999999953434,862289.760000000009313,847149.239999999990687,908594.750000000000000,872296.100000000093132,905105.459999999962747,9920672.019999999552965
20180223,994050.000000000000000,929278.750000000000000,977274.699999999953434,863170.660000000032596,939526.900000000023283,940212.839999999967404,875170.560000000055879,851806.439999999944121,931673.400000000023283,874562.000000000000000,924276.360000000102445,10101012.609999999403954
20180226,1013704.079999999958090,947044.849999999976717,1007480.299999999930151,878579.319999999948777,949792.599999999976717,967396.080000000074506,877961.400000000139698,870280.000000000000000,945144.199999999953434,880820.199999999953434,936756.239999999990687,10274969.269999999552965
20180227,1010418.959999999962747,950066.649999999906868,1000373.099999999976717,870989.979999999981374,928000.500000000000000,983154.479999999981374,862289.760000000009313,849477.839999999967404,933060.099999999976717,869059.100000000093132,927584.280000000027940,10184484.749999998137355
20180228,1008889.680000000051223,943736.499999999883585,994598.500000000000000,858034.439999999944121,901525.800000000046566,970941.719999999972060,846618.120000000111759,841715.839999999967404,928800.949999999953434,847263.299999999930151,924351.539999999920838,10066486.389999998733401
20180301,991218.000000000000000,911121.899999999906868,972832.699999999837019,858954.359999999986030,881804.849999999976717,942379.620000000111759,835669.439999999944121,833643.359999999986030,919688.349999999976717,849205.500000000000000,905255.820000000065193,9901783.899999998509884
20180302,998071.440000000060536,898044.800000000046566,978607.300000000046566,855887.959999999962747,877572.500000000000000,964835.339999999967404,795792.630000000121072,843889.199999999953434,921669.349999999976717,857837.500000000000000,908037.479999999981374,9900255.500000000000000
20180305,1001526.479999999981374,919093.199999999953434,988823.900000000023283,867463.619999999995343,893331.250000000000000,980002.800000000046566,810605.550000000046566,844510.159999999916181,927513.299999999930151,866361.600000000093132,916382.459999999962747,10015624.320000000298023
20180306,1000676.879999999888241,909116.050000000046566,983715.599999999976717,871296.619999999995343,907829.300000000046566,998912.880000000121072,811517.939999999944121,842957.759999999892898,924343.699999999953434,863448.299999999930151,910217.700000000069849,10024042.729999998584390
20180307,991387.920000000041910,904218.650000000023283,981716.700000000069849,872753.160000000032596,899904.900000000023283,1010928.660000000032596,817851.000000000000000,845596.839999999967404,929692.400000000023283,854168.899999999906868,916156.919999999925494,10024386.050000000745058
20180308,1002206.160000000032596,908621.099999999976717,984826.099999999976717,868996.819999999948777,905127.800000000046566,999503.820000000065193,828907.020000000018626,850098.799999999930151,935338.250000000000000,862908.799999999930151,918938.579999999958090,10065483.250000000000000
20180309,1019424.719999999972060,923704.049999999930151,1007702.399999999906868,898664.239999999990687,926289.550000000046566,1028065.920000000041910,843934.620000000111759,855997.919999999925494,956237.800000000046566,866361.600000000093132,936154.800000000046566,10262547.620000001043081
20180312,1029280.079999999958090,896794.399999999906868,1011700.199999999837019,895367.859999999986030,914853.200000000069849,1014868.260000000125729,846618.120000000111759,859413.199999999953434,958515.949999999953434,861721.900000000023283,934124.939999999944121,10223268.109999999403954
20180313,1019368.079999999958090,882414.800000000046566,1003038.299999999930151,892838.079999999958090,905037.750000000000000,1019989.740000000107102,849194.280000000027940,859568.439999999944121,935140.149999999906868,860211.299999999930151,926306.219999999972060,10153117.140000002458692
20180314,1010702.160000000032596,860506.749999999883585,1005703.500000000000000,882642.299999999930151,884776.500000000000000,1021565.580000000074506,849301.620000000111759,850719.759999999892898,929593.349999999976717,852442.500000000000000,921645.059999999939464,10069609.080000000074506
20180315,1011891.599999999976717,859777.349999999976717,1006813.999999999883585,886092.000000000000000,870548.599999999976717,1002261.540000000153668,867388.410000000149012,857705.559999999939464,932862.000000000000000,848881.800000000046566,927885.000000000000000,10072117.859999999403954
20180316,1008323.280000000027940,861053.800000000046566,999706.799999999930151,884712.119999999995343,871539.150000000023283,1007973.960000000079162,871413.660000000149012,864225.640000000013970,937022.099999999976717,852118.799999999930151,936305.160000000032596,10094404.470000000670552
20180319,992917.200000000069849,864414.249999999883585,983271.400000000023283,873136.459999999962747,853619.200000000069849,1001276.640000000013970,853434.209999999962747,848080.679999999934807,920084.549999999930151,848773.899999999906868,926381.399999999906868,9965399.889999998733401
20180320,992577.360000000102445,879705.599999999976717,985492.399999999906868,877812.719999999972060,851458.000000000000000,1015459.199999999953434,855420.000000000000000,848235.919999999925494,922461.749999999883585,844997.400000000023283,939162.000000000000000,10012792.349999999627471
20180321,970091.280000000027940,878324.950000000069849,984159.800000000046566,897284.359999999986030,864785.400000000023283,1015656.180000000051223,851555.760000000009313,849012.119999999878928,916023.500000000000000,831294.100000000093132,926456.579999999958090,9984654.029999999329448
20180322,956384.400000000023283,832763.500000000000000,956619.399999999906868,871679.920000000041910,841552.500000000000000,1001276.640000000013970,842861.219999999972060,840163.439999999944121,889379.050000000046566,824496.399999999906868,902173.439999999944121,9759359.909999998286366
20180323,934238.160000000032596,836384.449999999953434,942182.900000000023283,866160.400000000023283,808684.250000000000000,972320.580000000074506,831805.199999999953434,829141.399999999906868,863527.000000000000000,819101.399999999906868,879694.619999999995343,9583250.359999999403954
20180326,978587.280000000027940,857146.300000000046566,978607.300000000046566,884328.819999999948777,826964.400000000023283,1033778.339999999967404,848067.209999999962747,838921.519999999902211,928900.000000000000000,824496.399999999906868,907060.140000000013970,9906867.709999999031425
20180327,953495.760000000009313,836697.049999999930151,947957.500000000000000,879039.279999999911524,816158.399999999906868,1008367.920000000041910,845222.699999999953434,834419.559999999939464,886209.449999999953434,839386.600000000093132,882701.820000000065193,9729666.040000000968575
20180328,942960.719999999972060,833831.549999999930151,925303.299999999930151,859414.319999999948777,800399.649999999906868,977048.100000000093132,850214.010000000009313,855221.719999999972060,885417.049999999930151,850716.100000000093132,879619.439999999944121,9660155.959999997168779
20180329,950323.920000000041910,854306.849999999976717,952621.599999999976717,874286.359999999986030,817058.900000000023283,1025899.140000000013970,839319.000000000000000,845596.839999999967404,904038.449999999953434,855463.700000000069849,899391.780000000027940,9818316.539999999105930
20180402,944093.520000000018626,840135.649999999906868,910866.799999999930151,860487.559999999939464,795627.000000000000000,963653.460000000079162,846510.780000000027940,826968.040000000037253,876799.699999999953434,835178.500000000116415,890144.640000000013970,9590475.650000000372529
20180403,953778.959999999962747,861965.549999999930151,919084.500000000000000,880342.500000000000000,812016.099999999976717,980002.800000000046566,860894.340000000083819,839697.719999999972060,888586.649999999906868,846615.899999999906868,896234.219999999972060,9739229.240000000223517
20180404,972017.040000000037253,853160.649999999906868,915086.700000000069849,877659.400000000023283,816788.750000000000000,984730.320000000065193,868032.449999999953434,846683.519999999902211,914537.750000000000000,852982.000000000000000,900820.200000000069849,9802508.779999999329448
20180405,978757.200000000069849,876501.449999999837019,928856.899999999906868,899200.859999999986030,839211.199999999953434,992412.540000000153668,879947.189999999944121,846528.279999999911524,915032.999999999883585,850284.500000000000000,911195.039999999920838,9917938.160000000149012
20180406,953722.319999999948777,849722.049999999930151,904647.999999999883585,879805.880000000004657,817058.900000000023283,961092.719999999972060,865456.290000000037253,828365.199999999953434,893737.250000000000000,846292.200000000069849,884957.219999999972060,9684868.029999999329448
20180409,963181.200000000069849,840239.849999999976717,914420.400000000023283,889158.400000000023283,816788.750000000000000,976063.199999999953434,865348.949999999953434,871832.399999999906868,899085.949999999953434,843378.899999999906868,893151.840000000083819,9772659.839999999850988
20180410,981306.000000000000000,872411.599999999860302,944181.799999999930151,911159.819999999948777,844974.400000000023283,1009943.760000000125729,873614.130000000121072,876955.319999999948777,919985.499999999883585,845644.800000000046566,907661.579999999958090,9987848.710000000894070
20180411,976718.160000000032596,852952.250000000000000,942405.000000000000000,914226.219999999972060,830116.150000000023283,1006595.100000000093132,876673.320000000065193,872453.359999999986030,909882.400000000023283,844565.799999999930151,900594.660000000032596,9927192.420000001788139
20180412,986346.959999999962747,879314.849999999976717,962616.099999999976717,914072.900000000023283,852448.549999999930151,1038505.859999999986030,867442.080000000074506,880836.319999999948777,926919.000000000000000,839386.600000000093132,910292.879999999888241,10058192.100000001490116
20180413,989688.719999999972060,857953.849999999860302,955064.699999999953434,919362.439999999944121,848576.400000000023283,1021565.580000000074506,868032.449999999953434,887511.640000000013970,921966.500000000000000,845644.800000000046566,907887.119999999995343,10023264.199999999254942
20180416,995862.479999999981374,864440.299999999930151,961727.699999999837019,925341.920000000041910,859382.400000000023283,1032202.500000000000000,867495.750000000000000,910487.159999999916181,932762.949999999953434,848234.400000000023283,916382.459999999962747,10114330.019999999552965
20180417,1009569.360000000102445,877335.050000000046566,990378.599999999976717,925341.920000000041910,859382.400000000023283,1054658.219999999972060,872433.390000000130385,920112.040000000037253,951582.449999999953434,846292.200000000069849,930817.020000000018626,10237912.649999998509884
20180418,1007303.760000000009313,888484.449999999953434,991267.000000000000000,949259.839999999967404,872799.849999999976717,1056037.080000000074506,868461.810000000055879,914678.640000000013970,955247.299999999930151,843810.500000000000000,930817.020000000018626,10278177.249999998137355
20180419,978757.200000000069849,887546.649999999906868,989712.300000000046566,948416.579999999958090,853168.949999999953434,1028656.859999999986030,856225.050000000046566,910331.919999999925494,951978.650000000023283,808743.000000000000000,932019.899999999906868,10145567.060000000521541
20180420,938656.079999999958090,882414.800000000046566,979273.599999999976717,937684.179999999934807,846955.500000000000000,1015065.240000000107102,852146.130000000121072,913281.479999999864958,940984.099999999976717,796334.500000000000000,933824.219999999972060,10036629.830000000074506
20180423,935937.360000000102445,882857.649999999906868,982827.199999999953434,947420.000000000000000,841282.349999999976717,1006595.100000000093132,853326.870000000111759,935325.559999999939464,944450.849999999976717,787702.500000000000000,935778.899999999906868,10053514.339999999850988
20180424,922910.160000000032596,857380.750000000000000,971500.099999999976717,939447.359999999986030,810215.099999999976717,1013489.400000000139698,844363.979999999981374,932841.719999999972060,922362.700000000069849,782307.500000000000000,911796.479999999981374,9908625.250000000000000
20180425,926931.599999999976717,893329.750000000000000,970833.799999999930151,940827.239999999990687,816158.399999999906868,1012110.540000000153668,836957.520000000018626,925700.679999999934807,914339.650000000023283,780149.500000000000000,911345.399999999906868,9928694.080000000074506
20180426,930160.079999999958090,893147.400000000023283,981938.799999999930151,952326.239999999990687,821291.250000000000000,1045006.199999999953434,852843.840000000083819,922285.399999999906868,933654.400000000023283,785005.000000000000000,955476.059999999939464,10073144.669999999925494
20180427,919398.479999999981374,888171.849999999976717,993043.799999999930151,970724.640000000013970,824893.250000000000000,1038702.839999999967404,849623.640000000130385,923216.839999999967404,949106.199999999953434,785652.400000000023283,947431.800000000046566,10089975.740000000223517
20180430,936050.639999999897555,869103.250000000000000,983715.599999999976717,959148.979999999981374,811025.550000000046566,1016838.059999999939464,898678.020000000018626,913902.439999999944121,926324.699999999953434,780581.100000000093132,953972.459999999962747,10049350.800000000745058
20180501,957800.400000000023283,858631.150000000023283,995708.999999999883585,957232.479999999981374,808684.250000000000000,1050521.639999999897555,877210.020000000018626,900086.079999999841675,940984.099999999976717,776480.899999999906868,958708.800000000046566,10082058.820000000298023
20180502,1000110.479999999981374,844694.399999999906868,974165.299999999930151,962062.059999999939464,814267.349999999976717,1030429.680000000051223,862397.100000000093132,889529.759999999892898,926225.650000000023283,765475.099999999976717,950213.459999999962747,10019580.339999999850988
20180503,1001922.959999999962747,861626.899999999906868,987047.099999999860302,966048.380000000004657,813997.199999999953434,1029838.740000000107102,859176.900000000139698,893100.279999999911524,931772.449999999953434,770006.900000000023283,956227.860000000102445,10070775.669999999925494
20180504,1041231.120000000111759,871369.599999999976717,1006147.699999999837019,962368.699999999953434,826784.300000000046566,1039687.740000000107102,885743.550000000046566,896515.559999999939464,942568.899999999906868,781552.200000000069849,963595.500000000000000,10217574.869999999180436
20180507,1048764.239999999990687,886999.599999999976717,1015697.999999999883585,957845.760000000009313,832547.500000000000000,1050521.639999999897555,885582.540000000037253,890771.679999999934807,953068.199999999953434,776696.700000000069849,971865.299999999930151,10270371.159999998286366
20180508,1053805.199999999953434,881633.299999999930151,1015253.799999999930151,970341.339999999967404,823722.599999999976717,1056431.040000000037253,884348.130000000121072,881146.799999999930151,949007.150000000023283,770870.099999999976717,976676.820000000065193,10263246.279999999329448
20180509,1061225.040000000037253,897601.949999999953434,1022583.099999999976717,986823.239999999990687,846775.400000000023283,1070416.620000000111759,881503.620000000111759,899620.359999999986030,960199.799999999930151,780904.800000000046566,983743.739999999990687,10391407.670000001788139
20180510,1076404.560000000055879,896481.799999999930151,1028357.699999999837019,987589.839999999967404,858571.950000000069849,1083023.340000000083819,885958.229999999981374,901328.000000000000000,969807.649999999906868,789321.000000000116415,983743.739999999990687,10460597.810000000521541
20180511,1068191.760000000009313,892287.749999999883585,1020140.000000000000000,995409.160000000032596,858301.800000000046566,1076916.960000000195578,887675.669999999925494,926632.119999999878928,967727.599999999976717,791694.800000000046566,991111.379999999888241,10476099.000000000000000
20180514,1065699.600000000093132,897836.399999999906868,1015031.700000000069849,999625.459999999846332,866046.099999999976717,1081447.500000000000000,884079.780000000027940,926476.879999999888241,970996.250000000000000,790723.700000000069849,986525.400000000023283,10484498.769999999552965
20180515,1056014.159999999916181,891402.049999999930151,1010145.499999999883585,994642.560000000055879,861183.399999999906868,1062143.460000000195578,875170.560000000055879,919025.359999999986030,963963.699999999953434,787163.000000000000000,985698.419999999925494,10406562.169999999925494
20180516,1065869.520000000018626,888406.300000000046566,1003038.299999999930151,993262.679999999934807,872439.649999999906868,1076326.020000000018626,874150.830000000074506,927563.559999999939464,962279.849999999976717,793421.200000000069849,984119.639999999897555,10440887.549999998882413
20180517,1059129.360000000102445,896664.149999999906868,965281.299999999930151,992496.080000000074506,874150.599999999976717,1079674.680000000167638,865778.310000000055879,917007.239999999990687,952672.000000000000000,798060.899999999906868,976902.360000000102445,10377826.980000000447035
20180518,1055277.840000000083819,915133.599999999976717,959728.799999999930151,980230.479999999981374,866586.400000000023283,1079674.680000000167638,864007.199999999953434,918093.919999999925494,954454.900000000023283,792558.000000000000000,976902.360000000102445,10362658.179999999701977
20180521,1062754.320000000065193,948191.050000000046566,971722.199999999953434,991806.140000000013970,880183.949999999953434,1070022.660000000149012,866690.699999999953434,909245.239999999990687,966737.099999999976717,799139.900000000023283,982390.500000000000000,10448893.760000001639128
20180522,1060092.239999999990687,925006.549999999930151,969501.199999999953434,983066.899999999906868,865235.650000000023283,1072583.400000000139698,855795.689999999944121,907382.359999999986030,965746.599999999976717,798816.200000000069849,982766.400000000023283,10386003.190000001341105
20180523,1066889.040000000037253,935921.499999999883585,970167.500000000000000,986669.919999999925494,859742.599999999976717,1087553.880000000121072,867442.080000000074506,918559.640000000013970,977236.399999999906868,800434.700000000069849,991562.459999999962747,10462189.719999998807907
20180524,1065699.600000000093132,935374.449999999953434,967724.399999999906868,970647.979999999981374,851277.900000000023283,1078492.800000000046566,871574.669999999925494,917938.679999999934807,973769.650000000023283,796010.799999999930151,991637.639999999897555,10420158.570000000298023
20180525,1068135.120000000111759,938213.899999999906868,960839.299999999930151,936764.260000000009313,842723.150000000023283,1092084.419999999925494,875975.610000000102445,917317.719999999972060,974264.900000000023283,801837.400000000023283,987051.660000000032596,10395217.440000001341105
20180529,1064283.600000000093132,918389.849999999976717,954398.399999999906868,930631.459999999962747,820030.550000000046566,1089720.660000000149012,862075.080000000074506,906606.159999999916181,970798.150000000023283,799032.000000000000000,975098.039999999920838,10291073.949999999254942
20180530,1062018.000000000000000,933264.399999999906868,951733.199999999953434,959532.279999999911524,830926.599999999976717,1096811.939999999944121,868515.479999999981374,927097.839999999967404,980108.849999999976717,808095.599999999976717,982240.139999999897555,10400354.330000000074506
20180531,1058449.679999999934807,917556.250000000000000,948623.799999999930151,952939.519999999902211,822191.750000000000000,1087356.900000000139698,858801.209999999962747,924148.279999999911524,979019.300000000046566,789536.800000000046566,982841.579999999958090,10321475.070000002160668
20180601,1077537.360000000102445,929435.050000000046566,969723.299999999930151,949489.819999999948777,848576.400000000023283,1124389.139999999897555,854239.260000000009313,940138.000000000000000,998334.050000000046566,792558.000000000000000,983818.919999999925494,10468249.299999998882413
20180604,1086543.120000000111759,939881.099999999976717,967946.499999999883585,937300.880000000004657,860913.250000000000000,1119464.639999999897555,859928.280000000027940,962803.040000000037253,1007050.449999999953434,800434.700000000069849,1000508.879999999888241,10542784.839999999850988
20180605,1094925.840000000083819,938239.950000000069849,969945.400000000023283,940903.900000000023283,870638.650000000023283,1113555.239999999990687,855956.699999999953434,953022.919999999925494,1012201.049999999930151,798168.799999999930151,1004192.700000000069849,10551761.150000000372529
20180606,1098720.719999999972060,968093.250000000000000,983049.299999999930151,945886.799999999930151,898193.949999999953434,1123404.239999999990687,871521.000000000000000,961405.879999999888241,1015172.549999999930151,802268.999999999883585,1024641.660000000032596,10692368.349999999627471
20180607,1095775.439999999944121,960200.099999999860302,969501.199999999953434,973331.079999999958090,890269.550000000046566,1100751.540000000037253,909626.699999999953434,962337.319999999948777,999225.499999999883585,817482.900000000023283,1006297.739999999990687,10684809.070000000298023
20180608,1085806.800000000046566,962726.949999999953434,965725.499999999883585,969344.760000000009313,891170.049999999930151,1084402.199999999953434,906567.510000000009313,971496.479999999864958,1006654.249999999883585,832804.700000000069849,1013063.940000000060536,10689773.139999996870756
20180611,1083144.719999999972060,966478.149999999906868,970389.599999999860302,977930.679999999934807,891170.049999999930151,1073962.260000000009313,893579.370000000111759,967615.479999999864958,1000909.349999999976717,836581.200000000069849,1006824.000000000000000,10668594.859999997541308
20180612,1089091.919999999925494,965644.549999999930151,975942.099999999860302,974251.000000000000000,894862.100000000093132,1079871.660000000149012,894867.449999999953434,969323.119999999878928,1003484.650000000023283,833452.099999999976717,1013966.100000000093132,10694766.750000000000000
20180613,1080142.800000000046566,948008.700000000069849,977496.799999999930151,974174.339999999967404,879373.500000000000000,1084008.239999999990687,894062.400000000139698,971651.719999999972060,998928.349999999976717,825143.799999999930151,1010507.820000000065193,10643508.470000000670552
20180614,1080709.199999999953434,944283.550000000046566,992599.599999999860302,969881.380000000004657,876942.149999999906868,1094054.219999999972060,896584.890000000130385,955662.000000000000000,1004574.199999999953434,819964.599999999976717,1015018.619999999995343,10650284.409999996423721
20180615,1069607.760000000009313,932456.849999999976717,982827.199999999953434,950946.359999999986030,868837.650000000023283,1085584.080000000074506,893418.360000000102445,962958.279999999911524,991796.749999999883585,834962.699999999953434,1015770.419999999925494,10589176.409999998286366
20180618,1069041.360000000102445,924277.150000000023283,981938.799999999930151,965741.739999999990687,869377.950000000069849,1048354.859999999986030,892452.300000000046566,946813.319999999948777,999027.400000000023283,818346.100000000093132,1024040.219999999855645,10539421.200000001117587
20180619,1051766.159999999916181,888797.049999999930151,973276.899999999906868,962445.359999999986030,851007.750000000000000,1042642.440000000060536,885421.530000000027940,947434.279999999911524,999027.400000000023283,823633.199999999953434,1015845.600000000093132,10441307.669999999925494
20180620,1056354.000000000000000,892886.899999999906868,971500.099999999976717,960528.859999999986030,844974.400000000023283,1042642.440000000060536,872487.060000000055879,951315.279999999911524,1009031.450000000069849,818453.999999999883585,1018777.619999999995343,10438962.109999999403954
20180621,1050463.439999999944121,879783.750000000000000,958618.299999999930151,939830.660000000032596,837140.049999999930151,1028065.920000000041910,861592.050000000046566,949762.879999999888241,1001800.799999999930151,824820.099999999976717,1011485.160000000032596,10343373.109999999403954
20180622,1047404.879999999888241,883040.000000000000000,959506.700000000069849,959072.319999999948777,859202.299999999930151,1034172.300000000046566,883167.390000000130385,954264.839999999967404,994570.149999999906868,835502.200000000069849,1017499.560000000055879,10427412.640000000596046
20180625,1031828.879999999888241,862955.449999999953434,939295.599999999976717,939983.979999999981374,846145.049999999930151,998912.880000000121072,857727.810000000055879,948210.479999999864958,974562.049999999930151,839386.600000000093132,984420.360000000102445,10223439.139999998733401
20180626,1044629.520000000018626,863215.949999999953434,945070.199999999837019,951866.279999999911524,850377.400000000023283,978426.960000000079162,863631.510000000009313,942621.839999999967404,981396.500000000000000,841652.500000000000000,996599.520000000135042,10259498.179999999701977
