訓練日期,20160202 - 20160504
測試日期,20160505 - 20160505
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11179966.949999999254942
真實報酬,11680050.350000001490116


夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000
二次趨勢線,-15.503320249156957 x^2 + 20691.510773892638099 x + 10000000.000000000000000
二次平均預期報酬,19652.788317199123412
風險,63510.267112366876972
二次平均趨勢值,0.309442696602551
一次趨勢線,19918.326388835041143 x + 10000000.000000000000000
一次預期報酬,19918.326388835041143
一次風險,63974.420005684551143
一次趨勢值,0.311348291818279
投資組合檔數,6
Stock#,DD[7](29),JNJ[12](23),MCD[15](11),MMM[16](26),PFE[20](24),XOM[29](27)
20160222,1874445.040000000037253,1672733.839999999850988,1573843.500000000000000,1767174.849999999860302,1660036.959999999962747,1799926.599999999860302,10348164.789999999105930
20160223,1838715.840000000083819,1662035.279999999795109,1563544.750000000000000,1750031.199999999953434,1655065.179999999934807,1774585.239999999990687,10243981.490000000223517
20160224,1846961.040000000037253,1676087.119999999646097,1565684.750000000000000,1761796.450000000186265,1658379.699999999953434,1780920.579999999841675,10289833.640000000596046
20160225,1882690.239999999990687,1698761.679999999701977,1583206.000000000000000,1781629.300000000279397,1689867.639999999897555,1791625.120000000111759,10427783.980000000447035
20160226,1907700.679999999934807,1689180.879999999888241,1565684.750000000000000,1773561.700000000186265,1669980.519999999785796,1785945.159999999916181,10392057.689999999478459
20160229,1902753.560000000055879,1680079.119999999646097,1567423.500000000000000,1757874.700000000186265,1639045.000000000000000,1750991.560000000055879,10298171.439999999478459
20160301,1959645.439999999944121,1712174.799999999813735,1589626.000000000000000,1788352.300000000046566,1659484.539999999804422,1775677.540000000037253,10484964.620000001043081
20160302,1942055.679999999934807,1709300.560000000055879,1584677.250000000000000,1786335.400000000139698,1656170.019999999785796,1806698.859999999869615,10485241.769999999552965
20160303,1941231.159999999916181,1703073.040000000037253,1560736.000000000000000,1785999.250000000000000,1651198.239999999990687,1800145.060000000055879,10442386.750000000000000
20160304,1968440.320000000065193,1700677.839999999850988,1567289.750000000000000,1793730.699999999953434,1641254.679999999934807,1797742.000000000000000,10469139.290000000968575
20160307,1947552.479999999981374,1704510.159999999683350,1566888.500000000000000,1799333.199999999953434,1645674.039999999804422,1845147.819999999832362,10509110.199999999254942
20160308,1911273.600000000093132,1696206.799999999813735,1583874.750000000000000,1795187.349999999860302,1621919.979999999748543,1805169.639999999897555,10413636.120000001043081
20160309,1920343.320000000065193,1706106.959999999962747,1600192.250000000000000,1793954.800000000046566,1642911.939999999711290,1800145.060000000055879,10463658.330000000074506
20160310,1923091.719999999972060,1710897.359999999869615,1604739.750000000000000,1791713.800000000046566,1634625.639999999897555,1795338.940000000176951,10460411.209999999031425
20160311,1981357.800000000046566,1719999.119999999646097,1625738.500000000000000,1814011.750000000000000,1684895.859999999869615,1795557.399999999906868,10621564.429999999701977
20160314,1967890.639999999897555,1719200.719999999739230,1643794.750000000000000,1813227.400000000139698,1662799.060000000055879,1800363.519999999785796,10607280.089999999850988
20160315,1964592.560000000055879,1720797.520000000018626,1650883.500000000000000,1819950.400000000139698,1631863.539999999804422,1809320.379999999655411,10597411.899999998509884
20160316,1982732.000000000000000,1715208.719999999739230,1652087.250000000000000,1825328.800000000046566,1604242.539999999804422,1810412.679999999934807,10590015.989999998360872
20160317,2011865.040000000037253,1704510.159999999683350,1647272.250000000000000,1834965.100000000093132,1620815.139999999897555,1837283.259999999776483,10656714.949999999254942
20160318,2022034.119999999878928,1716645.839999999850988,1659577.250000000000000,1852669.000000000232831,1626891.759999999776483,1839467.859999999869615,10717289.829999998211861
20160321,2017361.840000000083819,1713132.879999999888241,1655966.000000000000000,1847178.550000000046566,1661141.799999999813735,1826797.179999999934807,10721582.250000000000000
20160322,2005818.560000000055879,1714729.679999999701977,1656099.750000000000000,1847962.900000000139698,1678266.819999999832362,1837720.179999999934807,10740601.890000000596046
20160323,2003345.000000000000000,1732613.839999999850988,1661048.500000000000000,1840791.700000000186265,1667770.839999999850988,1829637.159999999916181,10735211.039999999105930
20160324,2008566.959999999962747,1729579.919999999925494,1649011.000000000000000,1842920.650000000139698,1661694.219999999739230,1834661.739999999990687,10726438.490000000223517
20160328,2018186.360000000102445,1728302.479999999981374,1647406.000000000000000,1863313.750000000000000,1645121.619999999878928,1839904.779999999795109,10742238.989999998360872
20160329,2000871.439999999944121,1742833.359999999869615,1658106.000000000000000,1842136.300000000046566,1660036.959999999962747,1846677.040000000037253,10750665.099999997764826
20160330,2014888.280000000027940,1740278.479999999981374,1682983.500000000000000,1868580.100000000093132,1661141.799999999813735,1846458.579999999841675,10814334.740000000223517
20160331,1990702.360000000102445,1727823.439999999944121,1680977.250000000000000,1867235.500000000000000,1637387.739999999990687,1826141.800000000046566,10730272.089999999850988
20160401,2001695.959999999962747,1743631.759999999776483,1698899.750000000000000,1877320.000000000000000,1659484.539999999804422,1812378.819999999832362,10793414.830000000074506
20160404,1998947.560000000055879,1734050.959999999962747,1706256.000000000000000,1864658.350000000093132,1697049.099999999860302,1816748.019999999785796,10817713.989999998360872
20160405,1986030.080000000074506,1739799.439999999944121,1703714.750000000000000,1858047.400000000139698,1732403.979999999748543,1795994.319999999832362,10815993.970000000670552
20160406,1993450.760000000009313,1747304.399999999906868,1705587.250000000000000,1869252.400000000139698,1819133.919999999925494,1820024.919999999925494,10954757.650000000372529
20160407,1974211.959999999962747,1744909.199999999720603,1713879.749999999767169,1873174.150000000139698,1809742.779999999795109,1799489.679999999934807,10915411.519999999552965
20160408,1987129.439999999944121,1742194.639999999664724,1711472.250000000000000,1867235.500000000000000,1795379.859999999869615,1817840.319999999832362,10921256.009999999776483
20160411,1986854.600000000093132,1740118.799999999813735,1706122.250000000000000,1866787.300000000046566,1761682.239999999990687,1820243.379999999655411,10881812.569999998435378
20160412,2020385.080000000074506,1750178.639999999664724,1706791.000000000000000,1882922.500000000000000,1765549.179999999934807,1842744.759999999776483,10968575.160000000149012
20160413,2043471.639999999897555,1754490.000000000000000,1697161.000000000000000,1889197.300000000046566,1797589.539999999804422,1853230.839999999850988,11035144.319999998435378
20160414,2049518.119999999878928,1754010.959999999962747,1705453.500000000000000,1884379.150000000139698,1803666.159999999683350,1866338.440000000176951,11063370.330000000074506
20160415,2049792.959999999962747,1759440.080000000074506,1709064.750000000000000,1891326.250000000000000,1795379.859999999869615,1856289.279999999795109,11061297.179999999701977
20160418,2056389.119999999878928,1771416.080000000074506,1723376.000000000000000,1899954.100000000325963,1801456.479999999748543,1873984.540000000037253,11126580.320000000298023
20160419,2076452.439999999944121,1799360.080000000074506,1723509.750000000232831,1901074.600000000093132,1816924.239999999990687,1883378.319999999832362,11200703.430000001564622
20160420,2033027.719999999972060,1813731.279999999795109,1719363.500000000232831,1893119.050000000046566,1835706.519999999785796,1896267.459999999962747,11191219.530000001192093
20160421,2034401.919999999925494,1813571.599999999627471,1682448.500000000000000,1889981.650000000139698,1836258.939999999944121,1896049.000000000000000,11152715.609999999403954
20160422,2059137.520000000018626,1809579.599999999627471,1678569.750000000000000,1889981.650000000139698,1837916.199999999953434,1912215.040000000037253,11187403.759999997913837
20160425,2056389.119999999878928,1812613.520000000018626,1704784.750000000000000,1886844.250000000000000,1834601.679999999934807,1907845.839999999850988,11203083.160000000149012
20160426,2100638.360000000335276,1803032.719999999739230,1708128.500000000000000,1862193.250000000232831,1825762.959999999729916,1914399.639999999897555,11214159.429999999701977
20160427,2097889.959999999962747,1800797.199999999720603,1716019.750000000232831,1879897.149999999906868,1823000.859999999869615,1932531.819999999832362,11250140.740000000223517
20160428,2090744.119999999878928,1796166.479999999981374,1710937.250000000000000,1871381.350000000093132,1818029.079999999608845,1923138.040000000037253,11210400.320000000298023
20160429,2059137.520000000018626,1789779.279999999795109,1691811.000000000000000,1875639.250000000000000,1806980.679999999934807,1931221.060000000055879,11154572.790000000968575
20160502,2060786.560000000055879,1800477.839999999850988,1714682.249999999767169,1886396.050000000046566,1811952.459999999729916,1947168.639999999897555,11221467.799999998882413
20160503,2026431.560000000055879,1799519.759999999776483,1717357.250000000000000,1882250.200000000186265,1861670.260000000009313,1924885.719999999972060,11212118.750000001862645
20160504,2011315.360000000102445,1792014.799999999813735,1729796.000000000232831,1873174.150000000139698,1845097.659999999683350,1921171.899999999906868,11172573.870000001043081
20160505,1990427.520000000018626,1802553.679999999701977,1729127.250000000000000,1880009.200000000186265,1854488.799999999813735,1923356.500000000000000,11179966.949999999254942
