訓練日期,20110812 - 20111111
測試日期,20111114 - 20111130
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11694880.989999998360872
真實報酬,1589332.450000001117587


夏普值報酬,0.000331593489133
夏普值風險,0.023735935676343
夏普值,0.013970103966175
二次趨勢線,-102.130248176524546 x^2 + 26899.031607412827725 x + 10000000.000000000000000
二次平均預期報酬,18932.872249643914984
風險,203402.827144313632743
二次平均趨勢值,0.093080674027265
一次趨勢線,20962.958021462403849 x + 10000000.000000000000000
一次預期報酬,20962.958021462403849
一次風險,214721.118343545676908
一次趨勢值,0.097628766947471
投資組合檔數,5
Stock#,HD[9](4),INTC[11](26),PG[21](9),VZ[26](10),WMT[28](6)
20110830,2234273.600000000093132,1949903.719999999739230,2100909.250000000000000,2097631.300000000279397,2124270.530000000260770,10506988.400000002235174
20110831,2221628.150000000372529,1939306.429999999701977,2106864.549999999813735,2089543.500000000232831,2139150.820000000298023,10496493.449999999254942
20110901,2191678.399999999906868,1925818.969999999739230,2092968.849999999860302,2072790.200000000186265,2117433.639999999664724,10400690.059999998658895
20110902,2141762.149999999906868,1892100.319999999832362,2069478.500000000000000,2054303.800000000279397,2092499.100000000093132,10250143.869999999180436
20110906,2133110.000000000000000,1882466.419999999692664,2063854.050000000046566,2034662.000000000000000,2078423.150000000139698,10192515.619999999180436
20110907,2187685.099999999627471,1934489.479999999748543,2075102.949999999953434,2057770.000000000000000,2108183.730000000447035,10363231.259999999776483
20110908,2160397.550000000279397,1917148.459999999729916,2081389.099999999860302,2043905.200000000186265,2099738.160000000149012,10302578.469999998807907
20110909,2121130.100000000093132,1897880.659999999916181,2045988.150000000139698,2035817.400000000139698,2065553.709999999962747,10166370.019999999552965
20110912,2153076.500000000000000,1953757.280000000027940,2045657.300000000046566,2036395.100000000093132,2084053.530000000027940,10272939.709999999031425
20110913,2173708.549999999813735,2000000.000000000000000,2049296.649999999906868,2050837.600000000093132,2074803.620000000111759,10348646.419999998062849
20110914,2232276.949999999720603,2034682.040000000037253,2062530.650000000139698,2056614.600000000093132,2099335.990000000223517,10485440.230000000447035
20110915,2281527.649999999906868,2075144.419999999692664,2077088.050000000046566,2090698.899999999906868,2111803.259999999776483,10636262.279999999329448
20110916,2303490.799999999813735,2116570.189999999944121,2128369.799999999813735,2121317.000000000000000,2117433.639999999664724,10787181.429999999701977
20110919,2286186.500000000000000,2112716.629999999888241,2111165.600000000093132,2095898.200000000186265,2109390.240000000223517,10715357.169999999925494
20110920,2316801.800000000279397,2138728.159999999683350,2120098.549999999813735,2103408.299999999813735,2102955.520000000484288,10781992.329999998211861
20110921,2252243.450000000186265,2113680.020000000018626,2085028.450000000186265,2070479.400000000372529,2063945.030000000027940,10585376.349999999627471
20110922,2199665.000000000000000,2082851.540000000037253,2023821.199999999953434,2056036.900000000372529,2022119.350000000093132,10384493.990000000223517
20110923,2244256.850000000093132,2134874.600000000093132,2026468.000000000000000,2072790.200000000186265,2043032.189999999944121,10521421.839999999850988
20110926,2262892.250000000000000,2142581.719999999739230,2069147.649999999906868,2100519.800000000279397,2084455.699999999953434,10659597.119999999180436
20110927,2254905.650000000372529,2171483.419999999925494,2092968.849999999860302,2131137.899999999906868,2092499.100000000093132,10742994.919999999925494
20110928,2236270.250000000000000,2149325.449999999720603,2075433.799999999813735,2128249.400000000372529,2063542.860000000102445,10652821.759999997913837
20110929,2248915.699999999720603,2139691.549999999813735,2107526.250000000000000,2146158.100000000093132,2088477.400000000139698,10730769.000000000000000
20110930,2187685.099999999627471,2055876.619999999878928,2090322.050000000046566,2125938.600000000093132,2087270.890000000130385,10547093.259999999776483
20111003,2102494.700000000186265,1986512.540000000037253,2079073.150000000139698,2099364.400000000372529,2089683.910000000149012,10357128.700000001117587
20111004,2161063.100000000093132,2044315.939999999711290,2096608.199999999953434,2102830.600000000093132,2126683.549999999813735,10531501.390000000596046
20111005,2185022.899999999906868,2105009.509999999776483,2095615.650000000139698,2066435.500000000232831,2117433.639999999664724,10569517.199999999254942
20111006,2221628.150000000372529,2122350.529999999795109,2104548.600000000093132,2074523.299999999813735,2121455.339999999850988,10644505.919999998062849
20111007,2257567.850000000093132,2147398.669999999925494,2114474.100000000093132,2088965.799999999813735,2159661.490000000223517,10768067.909999998286366
20111010,2306818.549999999813735,2204238.679999999701977,2143919.750000000000000,2131715.600000000093132,2204302.360000000335276,10990994.940000001341105
20111011,2310146.300000000279397,2214835.969999999739230,2136310.199999999720603,2108607.600000000093132,2200682.830000000074506,10970582.899999998509884
20111012,2310811.850000000093132,2227360.040000000037253,2146897.399999999906868,2118428.500000000000000,2219986.990000000223517,11023484.780000001192093
20111013,2290179.799999999813735,2253371.569999999832362,2138957.000000000000000,2138648.000000000465661,2212747.930000000633299,11033904.300000000745058
20111014,2332775.000000000000000,2263968.859999999869615,2146897.399999999906868,2156556.700000000186265,2230443.410000000149012,11130641.370000001043081
20111017,2306153.000000000000000,2242774.279999999795109,2126053.850000000093132,2134026.399999999906868,2203095.850000000558794,11012103.379999998956919
20111018,2392674.500000000000000,2254334.959999999962747,2147889.950000000186265,2151357.400000000372529,2247736.719999999739230,11193993.530000001192093
20111019,2356069.250000000000000,2335259.719999999739230,2142265.500000000000000,2140381.100000000093132,2262214.839999999850988,11236190.410000000149012
20111020,2378032.399999999906868,2274566.149999999906868,2153514.399999999906868,2143269.600000000093132,2267040.879999999888241,11216423.429999999701977
20111021,2453239.549999999813735,2315028.529999999795109,2192223.850000000093132,2161756.000000000000000,2289160.230000000447035,11411408.160000000149012
20111024,2442590.750000000000000,2368978.369999999646097,2162778.200000000186265,2133448.700000000186265,2283529.850000000558794,11391325.870000001043081
20111025,2398664.449999999720603,2372831.929999999701977,2134325.100000000093132,2090698.899999999906868,2280714.660000000149012,11277235.039999999105930
20111026,2432607.500000000000000,2379575.659999999683350,2148882.500000000000000,2126516.300000000279397,2307257.879999999888241,11394839.839999999850988
20111027,2487182.599999999627471,2421001.429999999701977,2154506.950000000186265,2175620.799999999813735,2324953.360000000335276,11563265.140000000596046
20111028,2403988.849999999627471,2406550.580000000074506,2141603.800000000279397,2173887.700000000186265,2298410.139999999664724,11424441.070000000298023
20111031,2382691.250000000000000,2364161.419999999925494,2117120.899999999906868,2136337.199999999720603,2281116.830000000074506,11281427.599999999627471
20111101,2365386.949999999720603,2302504.459999999962747,2074772.100000000093132,2106874.500000000000000,2261410.500000000000000,11110948.509999999776483
20111102,2395336.700000000186265,2297687.509999999776483,2079734.850000000093132,2125938.600000000093132,2286747.209999999962747,11185444.870000001043081
20111103,2425952.000000000000000,2331406.159999999683350,2091314.600000000093132,2163489.100000000093132,2309268.730000000447035,11321430.589999999850988
20111104,2421958.700000000186265,2287090.219999999739230,2085359.300000000046566,2147313.500000000000000,2312486.089999999850988,11254207.809999998658895
20111107,2485185.950000000186265,2339113.279999999795109,2099585.850000000093132,2157134.400000000372529,2330181.570000000298023,11411201.050000000745058
20111108,2525118.949999999720603,2384392.609999999869615,2124399.599999999627471,2167533.000000000465661,2385681.030000000260770,11587125.190000001341105
20111109,2473206.049999999813735,2296724.119999999646097,2075102.949999999953434,2131137.899999999906868,2334605.440000000409782,11310776.460000000894070
20111110,2475868.250000000000000,2317918.699999999720603,2092307.150000000139698,2156556.700000000186265,2337822.799999999813735,11380473.600000001490116
20111111,2533105.550000000279397,2394026.509999999776483,2113812.399999999906868,2167533.000000000465661,2380854.990000000223517,11589332.450000001117587
20111114,2545751.000000000000000,2372831.929999999701977,2086021.000000000000000,2137492.600000000093132,2368387.719999999739230,11510484.250000000000000
20111115,2533771.100000000093132,2441232.619999999646097,2102894.350000000093132,2151357.400000000372529,2310877.410000000149012,11540132.880000000819564
20111116,2518463.450000000186265,2402697.020000000018626,2093630.550000000046566,2117273.100000000093132,2279508.150000000372529,11411572.270000001415610
20111117,2503821.349999999627471,2344893.619999999646097,2082381.649999999906868,2120161.600000000093132,2281519.000000000000000,11332777.219999998807907
20111118,2521125.650000000372529,2340076.669999999925494,2092307.150000000139698,2106296.800000000279397,2301627.500000000000000,11361433.770000001415610
20111121,2466550.550000000279397,2270712.589999999850988,2040032.849999999860302,2083766.500000000000000,2278703.809999999590218,11139766.300000000745058
20111122,2469212.750000000000000,2238920.719999999739230,2041025.399999999906868,2090698.899999999906868,2286345.040000000037253,11126202.809999998658895
20111123,2430610.850000000093132,2186897.659999999683350,2020181.850000000093132,2042172.100000000093132,2277899.469999999739230,10957761.929999999701977
20111125,2427283.100000000093132,2189787.830000000074506,2018196.750000000000000,2042172.100000000093132,2287953.719999999739230,10965393.500000000000000
20111128,2482523.750000000000000,2260115.299999999813735,2059222.150000000139698,2094165.100000000093132,2302431.839999999850988,11198458.140000000596046
20111129,2593005.050000000279397,2271675.979999999515712,2068816.800000000046566,2116117.700000000186265,2339431.480000000447035,11389047.009999999776483
20111130,2610309.350000000093132,2399806.850000000093132,2136310.199999999720603,2179664.699999999720603,2368789.889999999664724,11694880.989999998360872
